First Name,Last Name,Position,Season Type,From,To,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS
Justin,Anderson,G,Regular Season,(2015-16),(2019-20),226,24,"2,964",418,"1,010",41%,144,486,30%,202,261,77%,137,438,575,151,97,74,133,269,"1,182",,---,---,13.12,1.85,4.47,41%,0.64,2.15,30%,0.89,1.15,77%,0.61,1.94,2.54,0.67,0.43,0.33,0.59,1.19,5.23
Alan,Anderson,G-F,Regular Season,(2005-06),(2016-17),330,66,"6,793",843,"2,084",40%,331,963,34%,404,495,82%,151,563,714,371,182,31,290,602,"2,421",,---,---,20.58,2.55,6.32,40%,1.00,2.92,34%,1.22,1.50,82%,0.46,1.71,2.16,1.12,0.55,0.09,0.88,1.82,7.34
James,Anderson,G,Regular Season,(2010-11),(2015-16),247,83,"4,320",525,"1,276",41%,196,611,32%,176,233,76%,108,452,560,291,121,55,216,292,"1,422",,---,---,17.49,2.13,5.17,41%,0.79,2.47,32%,0.71,0.94,76%,0.44,1.83,2.27,1.18,0.49,0.22,0.87,1.18,5.76
Antonio,Anderson,G,Regular Season,(2009-10),(2009-10),1,0,15,1,3,33%,0,0,,0,0,,1,0,1,0,0,0,1,1,2,,---,---,15.00,1.00,3.00,33%,0.00,0.00,,0.00,0.00,,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,2.00
Derek,Anderson,G,Regular Season,(1997-98),(2007-08),615,390,"17,975","2,419","5,922",41%,645,"1,891",34%,"1,874","2,198",85%,440,"1,548","1,988","2,083",691,87,"1,052","1,230","7,357",,---,---,29.23,3.93,9.63,41%,1.05,3.07,34%,3.05,3.57,85%,0.72,2.52,3.23,3.39,1.12,0.14,1.71,2.00,11.96
Shandon,Anderson,F-G,Regular Season,(1996-97),(2005-06),719,226,"15,946","1,996","4,366",46%,307,972,32%,"1,028","1,392",74%,583,"1,669","2,252","1,007",556,180,958,"1,437","5,327",,---,---,22.18,2.78,6.07,46%,0.43,1.35,32%,1.43,1.94,74%,0.81,2.32,3.13,1.40,0.77,0.25,1.33,2.00,7.41
Kenny,Anderson,G,Regular Season,(1991-92),(2004-05),858,693,"25,868","4,002","9,512",42%,547,"1,580",35%,"2,238","2,833",79%,670,"1,971","2,641","5,196","1,258",111,"1,769","1,974","10,789",,---,---,30.15,4.66,11.09,42%,0.64,1.84,35%,2.61,3.30,79%,0.78,2.30,3.08,6.06,1.47,0.13,2.06,2.30,12.57
Nick,Anderson,F-G,Regular Season,(1989-90),(2001-02),800,636,"24,922","4,416","9,891",45%,"1,055","2,964",36%,"1,642","2,461",67%,"1,011","3,053","4,064","2,087","1,114",364,"1,358","1,502","11,529",,---,---,31.15,5.52,12.36,45%,1.32,3.71,36%,2.05,3.08,67%,1.26,3.82,5.08,2.61,1.39,0.46,1.70,1.88,14.41
Greg,Anderson,F-C,Regular Season,(1987-88),(1997-98),680,315,"14,040","2,011","4,090",49%,2,23,9%,929,"1,668",56%,"1,432","2,814","4,246",385,480,590,926,"1,741","4,953",,---,---,20.65,2.96,6.01,49%,0.00,0.03,9%,1.37,2.45,56%,2.11,4.14,6.24,0.57,0.71,0.87,1.36,2.56,7.28
Willie,Anderson,G-F,Regular Season,(1988-89),(1996-97),555,432,"15,974","2,804","5,952",47%,99,372,27%,"1,064","1,353",79%,550,"1,532","2,082","2,105",594,342,"1,163","1,500","6,771",,---,---,28.78,5.05,10.72,47%,0.18,0.67,27%,1.92,2.44,79%,0.99,2.76,3.75,3.79,1.07,0.62,2.10,2.70,12.20
Ron,Anderson,F-G,Regular Season,(1984-85),(1993-94),664,79,"15,112","2,936","6,239",47%,105,366,29%,"1,079","1,325",81%,856,"1,456","2,312",952,470,90,730,"1,019","7,056",,---,---,22.76,4.42,9.40,47%,0.16,0.55,29%,1.63,2.00,81%,1.29,2.19,3.48,1.43,0.71,0.14,1.10,1.53,10.63
Eric,Anderson,F,Regular Season,(1992-93),(1993-94),27,0,83,12,35,34%,2,2,100%,16,27,59%,12,19,31,5,3,2,7,23,42,,---,---,3.07,0.44,1.30,34%,0.07,0.07,100%,0.59,1.00,59%,0.44,0.70,1.15,0.19,0.11,0.07,0.26,0.85,1.56
Richard,Anderson,F-C,Regular Season,(1982-83),(1989-90),407,30,"6,002",909,"2,206",41%,148,445,33%,294,386,76%,457,961,"1,418",611,225,94,362,691,"2,260",,---,---,14.75,2.23,5.42,41%,0.36,1.09,33%,0.72,0.95,76%,1.12,2.36,3.48,1.50,0.55,0.23,0.89,1.70,5.55
Michael,Anderson,G,Regular Season,(1988-89),(1988-89),36,12,730,73,175,42%,1,7,14%,57,82,70%,44,45,89,153,44,3,84,64,204,,---,---,20.28,2.03,4.86,42%,0.03,0.19,14%,1.58,2.28,70%,1.22,1.25,2.47,4.25,1.22,0.08,2.33,1.78,5.67
J.J.,Anderson,F,Regular Season,(1982-83),(1984-85),157,2,"1,970",306,658,47%,0,9,0%,139,249,56%,186,253,439,110,107,39,131,251,751,,---,---,12.55,1.95,4.19,47%,0.00,0.06,0%,0.89,1.59,56%,1.18,1.61,2.80,0.70,0.68,0.25,0.83,1.60,4.78
Dwight,Anderson,G,Regular Season,(1982-83),(1982-83),5,0,33,7,14,50%,0,0,,7,10,70%,0,2,2,3,1,0,5,7,21,,---,---,6.60,1.40,2.80,50%,0.00,0.00,,1.40,2.00,70%,0.00,0.40,0.40,0.60,0.20,0.00,1.00,1.40,4.20
Kim,Anderson,F,Regular Season,(1978-79),(1978-79),21,,224,24,77,31%,---,---,---,15,28,54%,17,28,45,15,4,5,22,42,63,,---,---,10.67,1.14,3.67,31%,---,---,---,0.71,1.33,54%,0.81,1.33,2.14,0.71,0.19,0.24,1.05,2.00,3.00
Jerome,Anderson,G,Regular Season,(1975-76),(1976-77),49,,290,51,104,49%,---,---,---,25,36,69%,13,12,25,16,9,5,---,51,127,,---,---,5.92,1.04,2.12,49%,---,---,---,0.51,0.73,69%,0.27,0.24,0.51,0.33,0.18,0.10,---,1.04,2.59
Dan E.,Anderson,G,Regular Season,(1974-75),(1975-76),95,,"1,067",135,286,47%,---,---,---,77,91,85%,23,68,91,166,36,3,---,102,347,,---,---,11.23,1.42,3.01,47%,---,---,---,0.81,0.96,85%,0.24,0.72,0.96,1.75,0.38,0.03,---,1.07,3.65
Cliff,Anderson,G-F,Regular Season,(1967-68),(1970-71),81,,581,71,202,35%,---,---,---,105,177,59%,---,---,103,68,---,---,---,105,247,,---,---,7.17,0.88,2.49,35%,---,---,---,1.30,2.19,59%,---,---,1.27,0.84,---,---,---,1.30,3.05
Wally,Anderzunas,C-F,Regular Season,(1969-70),(1969-70),44,---,370,65,166,39%,---,---,---,29,46,63%,---,---,82,9,---,---,---,47,159,,---,---,8.41,1.48,3.77,39%,---,---,---,0.66,1.05,63%,---,---,1.86,0.20,---,---,---,1.07,3.61
Martynas,Andriuskevicius,C,Regular Season,(2005-06),(2005-06),6,0,9,0,1,0%,0,0,,0,0,,1,3,4,0,2,0,0,1,0,,---,---,1.50,0.00,0.17,0%,0.00,0.00,,0.00,0.00,,0.17,0.50,0.67,0.00,0.33,0.00,0.00,0.17,0.00
Don,Anielak,F,Regular Season,(1954-55),(1954-55),1,---,10,0,4,0%,---,---,---,3,4,75%,---,---,2,0,---,---,---,0,3,,---,---,10.00,0.00,4.00,0%,---,---,---,3.00,4.00,75%,---,---,2.00,0.00,---,---,---,0.00,3.00
Ike,Anigbogu,C,Regular Season,(2017-18),(2018-19),14,0,36,4,12,33%,0,0,,5,6,83%,6,6,12,1,1,4,3,1,13,,---,---,2.57,0.29,0.86,33%,0.00,0.00,,0.45,0.55,83%,0.43,0.43,0.86,0.07,0.07,0.29,0.21,0.07,0.93
Michael,Ansley,F,Regular Season,(1989-90),(1991-92),149,6,"2,143",383,746,51%,0,0,,260,360,72%,311,310,621,67,51,24,85,284,"1,026",,---,---,14.38,2.57,5.01,51%,0.00,0.00,,1.74,2.42,72%,2.09,2.08,4.17,0.45,0.34,0.16,0.57,1.91,6.89
Chris,Anstey,C,Regular Season,(1997-98),(1999-00),155,23,"2,157",303,734,41%,4,29,14%,203,269,75%,178,356,534,127,78,65,147,373,813,,---,---,13.92,1.95,4.74,41%,0.03,0.19,14%,1.31,1.74,75%,1.15,2.30,3.45,0.82,0.50,0.42,0.95,2.41,5.25
Giannis,Antetokounmpo,G-F,Regular Season,(2013-14),(2019-20),528,463,"17,137","3,873","7,355",53%,309,"1,087",28%,"2,547","3,526",72%,887,"3,811","4,698","2,274",620,692,"1,458","1,589","10,602",,---,---,32.46,7.34,13.93,53%,0.59,2.06,28%,4.82,6.68,72%,1.68,7.22,8.90,4.31,1.17,1.31,2.76,3.01,20.08
Thanasis,Antetokounmpo,F,Regular Season,(2015-16),(2019-20),22,2,135,27,52,52%,0,11,0%,7,17,41%,12,13,25,15,7,2,12,20,61,,---,---,6.14,1.23,2.36,52%,0.00,0.50,0%,0.32,0.77,41%,0.55,0.59,1.14,0.68,0.32,0.09,0.55,0.91,2.77
Kostas,Antetokounmpo,F,Regular Season,(2018-19),(2019-20),7,0,31,3,6,50%,0,0,,3,6,50%,2,2,4,2,2,0,2,2,9,,---,---,4.43,0.43,0.86,50%,0.00,0.00,,0.43,0.86,50%,0.29,0.29,0.57,0.29,0.29,0.00,0.29,0.29,1.29
Carmelo,Anthony,F,Regular Season,(2003-04),(2019-20),"1,122","1,114","40,031","9,473","21,143",45%,"1,449","4,150",35%,"6,051","7,451",81%,"1,889","5,415","7,304","3,249","1,131",553,"2,932","3,233","26,446",,---,---,35.68,8.44,18.84,45%,1.29,3.70,35%,5.39,6.64,81%,1.68,4.83,6.51,2.90,1.01,0.49,2.61,2.88,23.57
Joel,Anthony,C,Regular Season,(2007-08),(2016-17),490,110,"7,056",398,776,51%,0,0,,268,405,66%,562,791,"1,353",99,127,531,227,819,"1,064",,---,---,14.40,0.81,1.58,51%,0.00,0.00,,0.55,0.83,66%,1.15,1.61,2.76,0.20,0.26,1.08,0.46,1.67,2.17
Greg,Anthony,G,Regular Season,(1991-92),(2001-02),757,227,"15,850","1,914","4,750",40%,610,"1,748",35%,"1,059","1,445",73%,271,"1,146","1,417","2,997",887,79,"1,043","1,324","5,497",,---,---,20.94,2.53,6.27,40%,0.81,2.31,35%,1.40,1.91,73%,0.36,1.51,1.87,3.96,1.17,0.10,1.38,1.75,7.26
Pero,Antic,F,Regular Season,(2013-14),(2014-15),113,29,"1,962",231,590,39%,108,344,31%,138,189,73%,115,283,398,107,37,26,104,258,708,,---,---,17.36,2.04,5.22,39%,0.96,3.04,31%,1.22,1.67,73%,1.02,2.50,3.52,0.95,0.33,0.23,0.92,2.28,6.27
OG,Anunoby,F,Regular Season,(2017-18),(2019-20),210,136,"4,899",632,"1,316",48%,229,627,37%,147,226,65%,182,563,745,210,194,81,179,437,"1,640",,---,---,23.33,3.01,6.27,48%,1.09,2.99,37%,0.70,1.08,65%,0.87,2.68,3.55,1.00,0.92,0.39,0.85,2.08,7.81
Keith,Appling,G,Regular Season,(2015-16),(2015-16),5,0,27,2,8,25%,0,3,0%,2,2,100%,0,1,1,1,1,0,3,5,6,,---,---,5.40,0.40,1.60,25%,0.00,0.60,0%,0.40,0.40,100%,0.00,0.20,0.20,0.20,0.20,0.00,0.60,1.00,1.20
Rafael,Araujo,C,Regular Season,(2004-05),(2006-07),139,75,"1,585",156,385,41%,1,4,25%,76,112,68%,124,271,395,41,51,16,111,300,389,,---,---,11.40,1.12,2.77,41%,0.01,0.03,25%,0.55,0.81,68%,0.89,1.95,2.84,0.29,0.37,0.12,0.80,2.16,2.80
Stacey,Arceneaux,F,Regular Season,(1961-62),(1961-62),7,---,110,22,56,39%,---,---,---,6,13,46%,---,---,32,4,---,---,---,10,50,,---,---,15.71,3.14,8.00,39%,---,---,---,0.86,1.86,46%,---,---,4.57,0.57,---,---,---,1.43,7.14
Robert,Archibald,F,Regular Season,(2002-03),(2003-04),44,3,328,15,53,28%,0,0,,21,49,43%,27,42,69,16,14,6,17,59,51,,---,---,7.45,0.34,1.20,28%,0.00,0.00,,0.48,1.11,43%,0.61,0.95,1.57,0.36,0.32,0.14,0.39,1.34,1.16
Nate,Archibald,G,Regular Season,(1970-71),(1983-84),876,268,"31,159","5,899","12,628",47%,19,85,22%,"4,664","5,760",81%,344,"1,015","2,046","6,476",719,81,"1,123","2,002","16,481",,---,---,35.57,6.73,14.42,47%,0.02,0.10,22%,5.32,6.58,81%,0.39,1.16,2.34,7.39,0.82,0.09,1.28,2.29,18.81
Ryan,Arcidiacono,G,Regular Season,(2017-18),(2019-20),163,36,"3,195",294,679,43%,144,386,37%,121,146,83%,48,306,354,400,105,7,113,285,853,,---,---,19.60,1.80,4.17,43%,0.88,2.37,37%,0.74,0.90,83%,0.29,1.88,2.17,2.45,0.64,0.04,0.69,1.75,5.23
Jim,Ard,F-C,Regular Season,(1974-75),(1977-78),218,,"2,666",300,831,36%,---,---,---,171,246,70%,241,579,820,149,43,96,14,384,771,,---,---,12.23,1.38,3.81,36%,---,---,---,0.78,1.13,70%,1.11,2.66,3.76,0.68,0.20,0.44,0.06,1.76,3.54
Gilbert,Arenas,G,Regular Season,(2001-02),(2011-12),552,455,"19,351","3,722","8,850",42%,"1,079","3,077",35%,"2,879","3,584",80%,444,"1,724","2,168","2,909",884,134,"1,744","1,683","11,402",,---,---,35.06,6.74,16.03,42%,1.95,5.57,35%,5.22,6.49,80%,0.80,3.12,3.93,5.27,1.60,0.24,3.16,3.05,20.66
Trevor,Ariza,F,Regular Season,(2004-05),(2019-20),"1,064",731,"31,650","4,002","9,463",42%,"1,534","4,361",35%,"1,674","2,288",73%,"1,044","4,087","5,131","2,297","1,584",331,"1,442","2,130","11,212",,---,---,29.75,3.76,8.89,42%,1.44,4.10,35%,1.57,2.15,73%,0.98,3.84,4.82,2.16,1.49,0.31,1.36,2.00,10.54
Paul,Arizin,F-G,Regular Season,(1950-51),(1961-62),713,---,"24,897","5,628","13,354",42%,---,---,---,"5,010","6,189",81%,---,---,"6,129","1,665",---,---,---,"2,764","16,266",,---,---,34.92,7.89,18.73,42%,---,---,---,7.03,8.68,81%,---,---,8.60,2.34,---,---,---,3.88,22.81
Joe,Arlauckas,F,Regular Season,(1987-88),(1987-88),9,0,85,14,43,33%,0,0,,6,8,75%,6,7,13,8,3,4,4,16,34,,---,---,9.44,1.56,4.78,33%,0.00,0.00,,0.67,0.89,75%,0.67,0.78,1.44,0.89,0.33,0.44,0.44,1.78,3.78
Hilton,Armstrong,F-C,Regular Season,(2006-07),(2013-14),292,40,"3,378",347,693,50%,2,7,29%,184,316,58%,292,474,766,102,90,142,230,544,880,,---,---,11.57,1.19,2.37,50%,0.01,0.02,29%,0.63,1.08,58%,1.00,1.62,2.62,0.35,0.31,0.49,0.79,1.86,3.01
Darrell,Armstrong,G,Regular Season,(1994-95),(2007-08),840,337,"19,915","2,663","6,507",41%,923,"2,763",33%,"1,463","1,679",87%,654,"1,615","2,269","3,394","1,133",98,"1,556","1,398","7,712",,---,---,23.71,3.17,7.75,41%,1.10,3.29,33%,1.74,2.00,87%,0.78,1.92,2.70,4.04,1.35,0.12,1.85,1.66,9.18
Brandon,Armstrong,G,Regular Season,(2001-02),(2003-04),108,0,699,101,287,35%,25,75,33%,12,20,60%,22,41,63,24,22,4,37,83,239,,---,---,6.47,0.94,2.66,35%,0.23,0.69,33%,0.11,0.19,60%,0.20,0.38,0.58,0.22,0.20,0.04,0.34,0.77,2.21
B.J.,Armstrong,G,Regular Season,(1989-90),(1999-00),747,341,"17,790","2,850","5,981",48%,436,"1,026",42%,"1,184","1,383",86%,192,"1,129","1,321","2,479",533,47,889,"1,128","7,320",,---,---,23.82,3.82,8.01,48%,0.58,1.37,42%,1.59,1.85,86%,0.26,1.51,1.77,3.32,0.71,0.06,1.19,1.51,9.80
Tate,Armstrong,G,Regular Season,(1977-78),(1978-79),92,,975,159,350,45%,---,---,---,32,40,80%,31,57,88,105,33,0,79,64,350,,---,---,10.60,1.73,3.80,45%,---,---,---,0.35,0.43,80%,0.34,0.62,0.96,1.14,0.36,0.00,0.86,0.70,3.80
Bob T.,Armstrong,F,Regular Season,(1956-57),(1956-57),19,---,110,11,37,30%,---,---,---,6,12,50%,---,---,39,3,---,---,---,13,28,,---,---,5.79,0.58,1.95,30%,---,---,---,0.32,0.63,50%,---,---,2.05,0.16,---,---,---,0.68,1.47
Curly,Armstrong,G-F,Regular Season,(1948-49),(1950-51),153,---,---,347,"1,176",30%,---,---,---,346,500,69%,---,---,89,358,---,---,---,466,"1,040",,---,---,---,2.27,7.69,30%,---,---,---,2.26,3.27,69%,---,---,0.58,2.34,---,---,---,3.05,6.80
Jesse,Arnelle,F,Regular Season,(1955-56),(1955-56),31,---,409,52,164,32%,---,---,---,43,69,62%,---,---,170,18,---,---,---,60,147,,---,---,13.19,1.68,5.29,32%,---,---,---,1.39,2.23,62%,---,---,5.48,0.58,---,---,---,1.94,4.74
Jay,Arnette,G,Regular Season,(1963-64),(1965-66),114,---,"1,177",163,447,36%,---,---,---,98,129,76%,---,---,116,139,---,---,---,233,424,,---,---,10.32,1.43,3.92,36%,---,---,---,0.86,1.13,76%,---,---,1.02,1.22,---,---,---,2.04,3.72
Bob,Arnzen,F,Regular Season,(1970-71),(1970-71),55,,594,128,277,46%,---,---,---,45,52,87%,---,---,152,24,---,---,---,54,301,,---,---,10.80,2.33,5.04,46%,---,---,---,0.82,0.95,87%,---,---,2.76,0.44,---,---,---,0.98,5.47
Carlos,Arroyo,G,Regular Season,(2001-02),(2010-11),569,191,"10,651","1,431","3,269",44%,137,405,34%,771,956,81%,210,755,965,"1,761",290,26,680,874,"3,770",,---,---,18.72,2.51,5.75,44%,0.24,0.71,34%,1.36,1.68,81%,0.37,1.33,1.70,3.09,0.51,0.05,1.20,1.54,6.63
Darrell,Arthur,F,Regular Season,(2008-09),(2017-18),503,106,"8,945","1,381","3,110",44%,161,458,35%,359,469,77%,547,"1,221","1,768",409,309,307,422,"1,234","3,282",,---,---,17.78,2.75,6.18,44%,0.32,0.91,35%,0.71,0.93,77%,1.09,2.43,3.51,0.81,0.61,0.61,0.84,2.45,6.52
John,Arthurs,G,Regular Season,(1969-70),(1969-70),11,---,86,12,35,34%,---,---,---,11,15,73%,---,---,14,17,---,---,---,15,35,,---,---,7.82,1.09,3.18,34%,---,---,---,1.00,1.36,73%,---,---,1.27,1.55,---,---,---,1.36,3.18
Jamel,Artis,G,Regular Season,(2017-18),(2017-18),15,1,279,31,79,39%,8,29,28%,7,12,58%,4,34,38,18,2,3,8,11,77,,---,---,18.60,2.07,5.27,39%,0.53,1.93,28%,0.47,0.80,58%,0.27,2.27,2.53,1.20,0.13,0.20,0.53,0.73,5.13
Omer,Asik,C,Regular Season,(2010-11),(2017-18),471,262,"9,216",947,"1,795",53%,0,1,0%,585,"1,062",55%,"1,036","2,326","3,362",280,167,339,542,928,"2,479",,---,---,19.57,2.01,3.81,53%,0.00,0.00,0%,1.24,2.25,55%,2.20,4.94,7.14,0.59,0.35,0.72,1.15,1.97,5.26
Vincent,Askew,G-F,Regular Season,(1987-88),(1997-98),467,27,"9,361","1,215","2,534",48%,76,253,30%,805,"1,068",75%,400,776,"1,176","1,017",304,106,503,972,"3,311",,---,---,20.04,2.60,5.43,48%,0.16,0.54,30%,1.72,2.29,75%,0.86,1.66,2.52,2.18,0.65,0.23,1.08,2.08,7.09
Keith,Askins,G-F,Regular Season,(1990-91),(1998-99),486,80,"7,983",677,"1,688",40%,275,774,36%,223,311,72%,525,903,"1,428",375,278,170,321,"1,094","1,852",,---,---,16.43,1.39,3.47,40%,0.57,1.59,36%,0.46,0.64,72%,1.08,1.86,2.94,0.77,0.57,0.35,0.66,2.25,3.81
Don,Asmonga,G,Regular Season,(1953-54),(1953-54),7,---,46,2,15,13%,---,---,---,1,1,100%,---,---,1,5,---,---,---,12,5,,---,---,6.57,0.29,2.14,13%,---,---,---,0.14,0.14,100%,---,---,0.14,0.71,---,---,---,1.71,0.71
Dick,Atha,G,Regular Season,(1955-56),(1957-58),43,---,448,53,135,39%,---,---,---,31,39,79%,---,---,66,51,---,---,---,63,137,,---,---,10.42,1.23,3.14,39%,---,---,---,0.72,0.91,79%,---,---,1.53,1.19,---,---,---,1.47,3.19
Chucky,Atkins,G,Regular Season,(1999-00),(2009-10),696,325,"17,304","2,479","6,022",41%,934,"2,565",36%,971,"1,258",77%,194,992,"1,186","2,396",465,36,"1,018","1,284","6,863",,---,---,24.86,3.56,8.65,41%,1.34,3.69,36%,1.40,1.81,77%,0.28,1.43,1.70,3.44,0.67,0.05,1.46,1.84,9.86
Al,Attles,G,Regular Season,(1960-61),(1970-71),711,,"17,826","2,499","5,545",45%,---,---,---,"1,330","2,106",63%,---,---,"2,463","2,483",---,---,---,"2,417","6,328",,---,---,25.07,3.51,7.80,45%,---,---,---,1.87,2.96,63%,---,---,3.46,3.49,---,---,---,3.40,8.90
Chet,Aubuchon,G,Regular Season,(1946-47),(1946-47),30,---,---,23,91,25%,---,---,---,19,35,54%,---,---,---,20,---,---,---,46,65,,---,---,---,0.77,3.03,25%,---,---,---,0.63,1.17,54%,---,---,---,0.67,---,---,---,1.53,2.17
Stacey,Augmon,F-G,Regular Season,(1991-92),(2005-06),"1,001",472,"21,658","3,037","6,480",47%,12,79,15%,"1,904","2,616",73%,"1,304","1,912","3,216","1,561",974,317,"1,248","1,750","7,990",,---,---,21.64,3.03,6.47,47%,0.01,0.08,15%,1.90,2.61,73%,1.30,1.91,3.21,1.56,0.97,0.32,1.25,1.75,7.98
D.J.,Augustin,G,Regular Season,(2008-09),(2019-20),864,320,"20,839","2,765","6,705",41%,"1,111","2,930",38%,"1,886","2,180",87%,261,"1,382","1,643","3,467",522,30,"1,307","1,255","8,527",,---,---,24.12,3.20,7.76,41%,1.29,3.39,38%,2.18,2.52,87%,0.30,1.60,1.90,4.01,0.60,0.03,1.51,1.45,9.87
James,Augustine,F,Regular Season,(2006-07),(2007-08),27,0,156,19,37,51%,0,0,,4,8,50%,17,16,33,4,5,2,6,20,42,,---,---,5.78,0.70,1.37,51%,0.00,0.00,,0.15,0.30,50%,0.63,0.59,1.22,0.15,0.19,0.07,0.22,0.74,1.56
Isaac,Austin,C,Regular Season,(1991-92),(2001-02),432,166,"8,350","1,295","2,901",45%,9,51,18%,686,"1,024",67%,617,"1,413","2,030",538,214,226,701,967,"3,285",,---,---,19.33,3.00,6.72,45%,0.02,0.12,18%,1.59,2.37,67%,1.43,3.27,4.70,1.25,0.50,0.52,1.62,2.24,7.60
Ken,Austin,F,Regular Season,(1983-84),(1983-84),7,0,28,6,13,46%,0,0,,0,0,,2,1,3,1,1,1,3,7,12,,---,---,4.00,0.86,1.86,46%,0.00,0.00,,0.00,0.00,,0.29,0.14,0.43,0.14,0.14,0.14,0.43,1.00,1.71
Johnny,Austin,G,Regular Season,(1966-67),(1966-67),4,---,61,5,22,23%,---,---,---,13,16,81%,---,---,7,4,---,---,---,12,23,,---,---,15.25,1.25,5.50,23%,---,---,---,3.25,4.00,81%,---,---,1.75,1.00,---,---,---,3.00,5.75
Anthony,Avent,F,Regular Season,(1992-93),(1999-00),352,156,"6,729",814,"2,019",40%,0,2,0%,330,481,69%,560,"1,024","1,584",278,166,211,416,824,"1,958",,---,---,19.12,2.31,5.74,40%,0.00,0.01,0%,0.94,1.37,69%,1.59,2.91,4.50,0.79,0.47,0.60,1.18,2.34,5.56
Bird,Averitt,G,Regular Season,(1976-77),(1977-78),130,,"2,221",432,"1,103",39%,---,---,---,221,310,71%,37,124,161,330,69,14,143,250,"1,085",,---,---,17.08,3.32,8.48,39%,---,---,---,1.70,2.38,71%,0.28,0.95,1.24,2.54,0.53,0.11,1.10,1.92,8.35
William,Avery,G,Regular Season,(1999-00),(2001-02),142,1,"1,205",137,415,33%,40,157,25%,65,91,71%,17,76,93,199,34,6,106,125,379,,---,---,8.49,0.96,2.92,33%,0.28,1.11,25%,0.46,0.64,71%,0.12,0.54,0.65,1.40,0.24,0.04,0.75,0.88,2.67
Dennis,Awtrey,C,Regular Season,(1970-71),(1981-82),733,3,"14,159","1,382","3,009",46%,0,0,,752,"1,154",65%,703,"1,514","3,342","1,467",186,182,245,"1,702","3,516",,---,---,19.32,1.89,4.11,46%,0.00,0.00,,1.03,1.57,65%,0.96,2.07,4.56,2.00,0.25,0.25,0.33,2.32,4.80
Gustavo,Ayon,C,Regular Season,(2011-12),(2013-14),135,41,"2,251",284,530,54%,0,1,0%,67,133,50%,188,401,589,173,100,73,122,272,635,,---,---,16.67,2.10,3.93,54%,0.00,0.01,0%,0.50,0.99,50%,1.39,2.97,4.36,1.28,0.74,0.54,0.90,2.01,4.70
Jeff,Ayres,F,Regular Season,(2009-10),(2015-16),237,15,"2,322",287,519,55%,2,5,40%,114,147,78%,196,436,632,99,37,66,132,360,690,,---,---,9.80,1.21,2.19,55%,0.01,0.02,40%,0.48,0.62,78%,0.83,1.84,2.67,0.42,0.16,0.28,0.56,1.52,2.91
Deandre,Ayton,C,Regular Season,(2018-19),(2019-20),109,102,"3,419",819,"1,438",57%,3,17,18%,208,278,75%,370,795,"1,165",197,87,125,206,326,"1,849",,---,---,31.37,7.51,13.19,57%,0.03,0.16,18%,1.91,2.55,75%,3.39,7.29,10.69,1.81,0.80,1.15,1.89,2.99,16.96
Kelenna,Azubuike,G,Regular Season,(2006-07),(2011-12),208,84,"5,025",802,"1,748",46%,210,514,41%,364,473,77%,257,572,829,230,130,103,203,408,"2,178",,---,---,24.16,3.86,8.40,46%,1.01,2.47,41%,1.75,2.27,77%,1.24,2.75,3.99,1.11,0.63,0.50,0.98,1.96,10.47
Chris,Babb,G,Regular Season,(2013-14),(2013-14),14,0,132,8,30,27%,6,27,22%,0,0,,4,13,17,3,6,0,3,13,22,,---,---,9.43,0.57,2.14,27%,0.43,1.93,22%,0.00,0.00,,0.29,0.93,1.21,0.21,0.43,0.00,0.21,0.93,1.57
Luke,Babbitt,F,Regular Season,(2010-11),(2017-18),381,107,"5,332",650,"1,593",41%,394,979,40%,124,166,75%,112,735,847,224,90,58,165,520,"1,818",,---,---,13.99,1.71,4.18,41%,1.03,2.57,40%,0.33,0.44,75%,0.29,1.93,2.22,0.59,0.24,0.15,0.43,1.36,4.77
Milos,Babic,C-F,Regular Season,(1990-91),(1991-92),21,0,87,12,32,38%,0,0,,13,20,65%,8,12,20,10,2,1,10,7,37,,---,---,4.14,0.57,1.52,38%,0.00,0.00,,0.62,0.95,65%,0.38,0.57,0.95,0.48,0.10,0.05,0.48,0.33,1.76
Johnny,Bach,F-G,Regular Season,(1948-49),(1948-49),34,---,---,34,119,29%,---,---,---,51,75,68%,---,---,---,25,---,---,---,24,119,,---,---,---,1.00,3.50,29%,---,---,---,1.50,2.21,68%,---,---,---,0.74,---,---,---,0.71,3.50
Dwayne,Bacon,G,Regular Season,(2017-18),(2019-20),135,30,"2,159",279,693,40%,68,197,35%,89,124,72%,27,286,313,137,51,9,78,170,715,,---,---,15.99,2.07,5.13,40%,0.50,1.46,35%,0.66,0.92,72%,0.20,2.12,2.32,1.01,0.38,0.07,0.58,1.26,5.30
Jim,Baechtold,F-G,Regular Season,(1952-53),(1956-57),321,---,"8,256","1,117","2,876",39%,---,---,---,889,"1,135",78%,---,---,"1,009",685,---,---,---,795,"3,123",,---,---,25.72,3.48,8.96,39%,---,---,---,2.77,3.54,78%,---,---,3.14,2.13,---,---,---,2.48,9.73
